Structure,,alpha,beta,gamma,comment_alpha,comment_beta,,alpha,,,beta,,,gamma,,,number of metal atoms,
,,Energy,Energy,Energy,,,,Total magnetic moments,Total magnetic moments of metal atoms,Average magnetic moments of metal atoms,Total magnetic moments,Total magnetic moments of metal atoms,Average magnetic moments of metal atoms,Total magnetic moments,Total magnetic moments of metal atoms,Average magnetic moments of metal atoms,,
Cr2N3,,-43.65998484,-44.34167402,-44.18535025,alpha,beta,,1.68E-06,2.41E-06,1.21E-06,2.27E+00,1.31E+00,6.57E-01,3.00E+00,1.72E+00,8.60E-01,2,1.21E-06
Cr3N4,,-62.51536287,-60.64158494,-61.35789094,alpha,beta,,1.04E-06,1.03E-06,3.43E-07,4.21E+00,9.56E-01,3.19E-01,2.75E+00,1.65E+00,5.49E-01,3,3.43E-07
Cr4N5,,-81.23396145,-76.69813731,-81.11572553,alpha,beta,,1.30E-05,3.00E-06,7.50E-07,6.25E+00,6.86E-01,1.71E-01,1.44E-05,-4.96E-05,-1.24E-05,4,7.50E-07
Cr5N6,,-99.96362234,-92.6439451,-99.95938091,alpha,beta,,-1.81E-05,-6.87E-06,-1.37E-06,8.25E+00,5.78E-01,1.16E-01,-8.42E-02,-2.76E-02,-5.52E-03,5,-1.37E-06
Mn2N3,,-42.96161684,-44.49360029,-43.79489958,alpha,beta,,6.65E-01,3.80E-01,1.90E-01,5.02E-05,2.04E-04,1.02E-04,4.60E+00,2.29E+00,1.14E+00,2,1.90E-01
Mn3N4,,-61.23287433,-61.06153527,-62.58650824,"weird, not ok",beta,,3.07E+00,1.03E+00,3.43E-01,1.57E+00,-1.98E-01,-6.59E-02,6.49E+00,2.00E+00,6.65E-01,3,3.43E-01
Mn4N5,,-79.52986813,-77.62752013,-81.21004315,alpha,beta,,5.07E+00,1.10E+00,2.76E-01,2.90E+00,-4.47E-01,-1.12E-01,7.98E+00,1.60E+00,4.01E-01,4,2.76E-01
Mn5N6,,-97.80101356,-94.09758044,-99.7241657,alpha,beta,,6.89E+00,1.11E+00,2.22E-01,4.62E+00,-4.28E-01,-8.56E-02,1.00E+01,1.52E+00,3.05E-01,5,2.22E-01
Mo2N3,,-48.25845344,-48.27120263,-47.77402895,alpha,beta,,1.66E-07,5.61E-08,2.81E-08,2.29E-05,1.40E-05,7.00E-06,-1.53E-06,-5.45E-07,-2.73E-07,2,2.81E-08
Mo3N4,,-68.84528386,-66.34181275,-68.19057044,alpha,beta,,-4.68E-08,3.42E-08,1.14E-08,2.49E-06,2.25E-07,7.50E-08,3.15E-06,6.28E-07,2.09E-07,3,1.14E-08
Mo4N5,,-89.07654487,-87.86244677,-88.66144204,alpha,beta,,-1.12E-07,6.88E-09,1.72E-09,-1.83E-07,-1.11E-07,-2.78E-08,-5.24E-07,-1.23E-07,-3.08E-08,4,1.72E-09
Mo5N6,,-109.3837993,-102.4853007,-109.1726285,alpha,beta,,-1.52E-07,1.91E-08,3.82E-09,2.49E-07,3.04E-08,6.08E-09,3.85E-07,1.66E-07,3.32E-08,5,3.82E-09
Nb2N3,,-48.81974077,-49.33260242,-49.46409408,alpha,beta,,-1.63E-07,1.75E-08,8.75E-09,4.43E-07,1.76E-07,8.80E-08,-5.59E-05,-1.70E-05,-8.50E-06,2,8.75E-09
Nb3N4,,-69.98992042,-67.17871227,-70.36503926,alpha,beta,,1.17E-07,3.95E-08,1.32E-08,-8.00E-07,-6.26E-08,-2.09E-08,-1.73E-07,-1.18E-08,-3.93E-09,3,1.32E-08
Nb4N5,,-91.12808957,-91.7636893,-91.01681164,alpha,alpha,,1.56E-07,5.65E-08,1.41E-08,1.84E-07,-7.24E-08,-1.81E-08,-4.36E-08,1.87E-09,4.68E-10,4,1.41E-08
Nb5N6,,-112.250009,-112.385805,-111.689488,alpha,hybrid,,-2.41E-07,-5.53E-08,-1.11E-08,5.79E-08,-8.60E-09,-1.72E-09,2.63E-08,9.54E-09,1.91E-09,5,-1.11E-08
Ta2N3,,-47.96655703,-48.50746102,-48.81625366,alpha,beta,,1.33E-06,1.23E-07,6.15E-08,-6.80E-07,-2.70E-07,-1.35E-07,9.44E-06,1.49E-06,7.45E-07,2,6.15E-08
Ta3N4,,-68.55748808,-65.87178888,-68.85604669,alpha,beta,,-5.60E-07,1.10E-07,3.67E-08,8.74E-07,-2.84E-07,-9.47E-08,-2.76E-07,-5.01E-08,-1.67E-08,3,3.67E-08
Ta4N5,,-89.14225693,-88.78052109,-88.74058974,alpha,hybrid,,-2.93E-07,-2.52E-08,-6.30E-09,1.21E-05,-1.59E-06,-3.98E-07,-3.38E-08,-4.98E-08,-1.25E-08,4,-6.30E-09
Ta5N6,,-109.7055418,-109.8194258,-108.7311654,alpha,hybrid,,6.07E-09,-1.88E-08,-3.76E-09,-9.68E-08,1.39E-07,2.78E-08,-2.50E-08,-1.26E-08,-2.52E-09,5,-3.76E-09
Ti2N3,,-41.98361312,-42.17391776,-42.84248036,alpha,beta,,2.17E-01,2.07E-02,1.03E-02,9.92E-01,-1.13E-02,-5.66E-03,2.06E-07,-1.38E-08,-6.90E-09,2,1.03E-02
Ti3N4,,-60.20540179,-62.52401979,-62.10226654,alpha,hybrid,,3.61E-08,6.07E-08,2.02E-08,5.32E-12,4.29E-09,1.43E-09,-1.27E-09,2.87E-08,9.57E-09,3,2.02E-08
Ti4N5,,-78.14924423,-80.87579388,-80.32280232,alpha,hybrid,,-2.07E-03,-1.56E-05,-3.90E-06,8.90E-07,4.50E-08,1.13E-08,-4.36E-09,-6.23E-09,-1.56E-09,4,-3.90E-06
Ti5N6,,-95.98511111,-98.27784119,-98.44122538,alpha,hybrid,,2.29E-02,4.16E-05,8.32E-06,1.30E-07,-1.98E-08,-3.96E-09,9.06E-09,6.42E-09,1.28E-09,5,8.32E-06
V2N3,,-44.19089253,-44.89864261,-44.87405909,alpha,beta,,-9.04E-07,-7.02E-07,-3.51E-07,-2.95E-03,-1.98E-03,-9.92E-04,6.87E-01,3.76E-01,1.88E-01,2,-3.51E-07
V3N4,,-63.42120934,-60.70079816,-64.04813834,alpha,beta,,-2.98E-07,-2.24E-07,-7.47E-08,7.39E-01,2.98E-02,9.94E-03,2.87E-06,8.18E-06,2.73E-06,3,-7.47E-08
V4N5,,-82.61495886,-82.9382458,-83.03395664,alpha,hybrid,,-1.05E-08,7.96E-09,1.99E-09,-4.37E-03,-6.18E-04,-1.54E-04,7.36E-05,-2.55E-05,-6.38E-06,4,1.99E-09
V5N6,,-101.8011572,-101.4695997,-101.9417441,alpha,beta,,-2.41E-07,-7.05E-08,-1.41E-08,4.58E-03,5.13E-03,1.03E-03,6.11E-05,-3.55E-07,-7.10E-08,5,-1.41E-08
W2N3,,-49.02762094,-48.7268375,-48.43195481,alpha,beta,,3.97E-08,2.60E-09,1.30E-09,3.87E-06,1.80E-06,9.00E-07,1.26E-06,4.54E-07,2.27E-07,2,1.30E-09
W3N4,,-69.57117475,-67.24512959,-68.57294268,alpha,beta,,-1.72E-08,4.47E-08,1.49E-08,1.03E-07,4.58E-08,1.53E-08,6.43E-07,5.56E-08,1.85E-08,3,1.49E-08
W4N5,,-89.61338219,-85.65338888,-88.94574924,alpha,beta,,6.51E-09,7.79E-10,1.95E-10,-2.10E-08,-3.31E-09,-8.28E-10,2.99E-08,7.30E-09,1.83E-09,4,1.95E-10
W5N6,,-109.7693394,-108.0954551,-109.3336177,alpha,hybrid,,-1.30E-08,3.93E-09,7.86E-10,5.02E-09,-4.23E-09,-8.46E-10,-2.03E-08,-8.70E-09,-1.74E-09,5,7.86E-10
